id,"created_at","updated_at","date"
274,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-10-31"
275,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-01"
276,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-02"
277,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-03"
278,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-04"
279,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-05"
280,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-06"
281,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-07"
282,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-08"
283,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-09"
284,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-10"
285,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-11"
286,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-12"
287,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-13"
288,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-14"
289,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-15"
290,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-16"
291,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-17"
292,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-18"
293,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-19"
294,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-20"
295,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-21"
296,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-22"
297,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-23"
298,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-24"
299,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-25"
300,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-26"
301,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-27"
302,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-28"
303,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-29"
304,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-11-30"
305,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-01"
306,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-02"
307,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-03"
308,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-04"
309,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-05"
310,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-06"
311,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-07"
312,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-08"
313,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-09"
314,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-10"
315,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-11"
316,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-12"
317,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-13"
318,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-14"
319,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-15"
320,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-16"
321,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-17"
322,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-18"
323,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-19"
324,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-20"
325,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-21"
326,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-22"
327,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-23"
328,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-24"
329,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-25"
330,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-26"
331,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-27"
332,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-28"
333,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-29"
334,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-30"
335,"0000-00-00 00:00:00","0000-00-00 00:00:00","2017-12-31"
